title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Hook,Hook,"Adventure, Fantasy, Comedy, Family","flying, swordplay, sword, fantasy, peter pan, daughter, fairy-tale figure, rescue",What if Peter Pan grew up?,"The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg.",144,11/12/1991,,en,English,United States of America,"Amblin Entertainment, TriStar Pictures",70000000,300854823,1532,6.6
Die Hard 2,Die Hard 2,"Action, Thriller","ambush, helicopter, journalist, based on novel, airport, hand grenade, fistfight, cop, sequel, snow, dulles international airport, shootout, officer involved shooting, terrorism, explosion, church, violence, sabotage, walkie talkie, swat team, air traffic control, commando unit, snowmobile",Die Harder,"John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",124,02/07/1990,,en,"English, Español",United States of America,"Twentieth Century Fox Film Corporation, Gordon Company, Silver Pictures",70000000,240031094,1896,6.6
S.W.A.T.,S.W.A.T.,"Action, Thriller, Crime","liberation, transport of prisoners, special unit, weapon, los angeles",You're either S.W.A.T. or you're not.,"Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",117,08/08/2003,http://www.sonypictures.com/homevideo/swat/,en,"English, Español, Français",United States of America,"Original Film, Columbia Pictures Corporation, Camelot Pictures, Chris Lee Productions, Illusion Entertainment",80000000,116643346,770,5.8
Vanilla Sky,Vanilla Sky,"Drama, Mystery, Romance, Science Fiction, Thriller","amnesia, ex-girlfriend, virtual reality","Forget everything you know, and open your eyes.","David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",136,10/12/2001,,en,English,United States of America,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films",68000000,203388341,1078,6.5
Lady in the Water,Lady in the Water,"Drama, Thriller, Fantasy, Mystery","fortune teller, religion and supernatural, supernatural powers, mythical creature, hell, swimming pool, nixe, aftercreditsstinger",Time is running out for a happy ending.,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",110,21/07/2006,,en,English,United States of America,"Legendary Pictures, Warner Bros., Blinding Edge Pictures",75000000,42285169,409,5.3
AVP: Alien vs. Predator,AVP: Alien vs. Predator,"Adventure, Science Fiction, Action","saving the world, predator, laserpointer, space marine, pyramid, praise, alien, xenomorph",Whoever wins... We lose,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",101,12/08/2004,http://www.avp-movie.com/,en,"Italiano, English","Canada, Czech Republic, Germany, United Kingdom, United States of America","Impact Pictures, Studio Babelsberg, Twentieth Century Fox Film Corporation, Davis Entertainment, Stillking Films, Brandywine Productions, Lonlink Productions, Kut Productions, Inside Track Films, Charenton Productions Limited, Revolution Sun Studios",70000000,171183863,1217,5.5
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,"Comedy, Family, Animation, Fantasy, Music","chipmunk, cgi, based on tv series, aftercreditsstinger, duringcreditsstinger, woman director",The Boys are back in town... and they have competition.,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",88,21/12/2009,http://www.munkyourself.com/,en,"English, Français",United States of America,"Regency Enterprises, Fox 2000 Pictures, Bagdasarian Productions",75000000,443140005,666,5.4
We Were Soldiers,We Were Soldiers,"Action, History, War","vietnam veteran, missile, vietnam war, army, major, based on true story, steel helmet, soldier, explosion, battle, bayonet, death, vietnamese",400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,138,01/03/2002,,en,"English, Tiếng Việt, Français","Germany, United States of America","Icon Entertainment International, Wheelhouse Entertainment, Motion Picture Production GmbH & Co. Erste KG",75000000,114660784,521,6.7
Olympus Has Fallen,Olympus Has Fallen,"Action, Thriller","white house, secret service, terrorist attack",When our flag falls our nation will rise.,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",120,20/03/2013,,en,"English, 한국어/조선말",United States of America,"Nu Image Films, Millennium Films",70000000,161025640,2981,6.2
Star Trek: Insurrection,Star Trek: Insurrection,"Science Fiction, Action, Adventure, Thriller","space opera, retribution, spacecraft officer, exploding ship",The battle for paradise has begun.,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",103,10/12/1998,,en,English,United States of America,Paramount Pictures,70000000,118000000,391,6.3
Battle: Los Angeles,Battle: Los Angeles,"Action, Science Fiction","saving the world, hero, marine corps, chaos, retirement, survivor, meteor, space invasion, alien, battlefield, survival, sergeant, los angeles, battle, danger, escapade, u.s. marine, heroic mission, evil alien, chaos and mayham",It's not war. It's survival.,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",116,08/03/2011,http://www.battlela.com,en,English,United States of America,"Columbia Pictures, Original Film, Relativity Media",70000000,202466756,1448,5.5
Big Fish,Big Fish,"Adventure, Fantasy, Drama","circus, father son relationship, witch, fish, fishing, love of one's life, leech, story teller, apoplectic stroke, fair, mermaid, cancer, relationship, youth, gentle giant",An adventure as big as life itself.,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",125,25/12/2003,,en,English,United States of America,"Columbia Pictures, The Zanuck Company, Jinks/Cohen Company, Tim Burton Productions",70000000,122919055,1994,7.6
Wolf,Wolf,Fantasy,"adultery, heal, bite, werewolf",The animal is out.,Publisher Will Randall becomes a werewolf and has to fight to keep his job.,125,17/06/1994,,en,English,United States of America,Columbia Pictures,0,0,216,6
War Horse,War Horse,"Drama, War","world war i, horse, farm life, execution, trapped, alcoholic, cavalry, plowing, artillery",Separated by War. Tested by Battle. Bound by Friendship.,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",146,25/12/2011,http://www.warhorsemovie.com/,en,English,United States of America,"DreamWorks SKG, Amblin Entertainment, Reliance Entertainment, Kennedy/Marshall Company, The",66000000,177584879,992,7
The Monuments Men,The Monuments Men,"War, Drama, History, Action","world war ii, nazis, art theft, post world war ii",It was the greatest art heist in history,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",118,24/01/2014,http://www.monumentsmen.com/,en,"English, Deutsch, Pусский, Français","Germany, United States of America","Columbia Pictures, Studio Babelsberg, Fox 2000 Pictures, Smokehouse Pictures, Obelisk Productions",70000000,154984035,1523,5.8
The Abyss,The Abyss,"Adventure, Action, Thriller, Science Fiction","ocean, sea, diving suit, flying saucer, nuclear missile, alien life-form, insanity, scuba diving, underwater, scuba, deepsea, trapped underwater , thalassophobia","There's everything you've ever known about adventure, and then there's The Abyss.","A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",139,09/08/1989,,en,English,United States of America,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment, Pacific Western",70000000,90000098,808,7.1
Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,"Drama, Crime",duringcreditsstinger,Gordon never gives up.,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",133,02/09/2010,http://www.wallstreetmoneyneversleeps.com/,en,English,United States of America,"Twentieth Century Fox Film Corporation, Dune Entertainment, Dune Entertainment III, Edward R. Pressman Film",70000000,134748021,493,5.8
Dracula Untold,Dracula Untold,"Horror, Action, Drama, Fantasy, War","vampire, dracula, bite, battle, 15th century, ottoman empire, vlad, fang vamp, tepes",Every bloodline has a beginning,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",92,01/10/2014,,en,English,United States of America,"Universal Pictures, Legendary Pictures, Fuji Television Network, Dentsu, Michael De Luca Productions",70000000,215529201,2389,6.2
The Siege,The Siege,"Drama, Action, Thriller, Crime","islam, muslim, car bomb, fbi agent",On November 6th our freedom is history,The secret US abduction of a suspected terrorist leads to a wave of terrorist attacks in New York that lead to the declaration of martial law.,116,06/11/1998,,en,"Español, English, العربية",United States of America,"Twentieth Century Fox Film Corporation, Lynda Obst Productions, Bedford Falls Company, The",70000000,116672912,352,6
Stardust,Stardust,"Adventure, Fantasy, Romance, Family","witch, based on novel, new love, prince, beauty, star, kingdom, wall, falling star, royalty, unrequited love, good vs evil, fratricide",This Summer A Star Falls. The Chase Begins.,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",127,09/08/2007,http://www.stardustmovie.com,en,English,"Iceland, United Kingdom, United States of America","Paramount Pictures, Ingenious Film Partners, Di Bonaventura Pictures, Marv Films, Vaughn Productions",70000000,135560026,1184,7.1
Seven Years in Tibet,Seven Years in Tibet,"Adventure, Drama, History","buddhism, himalaya, austria, mountains, buddhist monk, world war ii, prisoners of war, monsoon, tibet, dalai lama, mountaineer, lhasa, wedding",At the end of the world his real journey began.,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",136,12/09/1997,,en,English,United States of America,"TriStar Pictures, Mandalay Entertainment, Applecross, Reperage & Vanguard Films",70000000,131457682,630,7
The Dilemma,The Dilemma,"Comedy, Drama","adultery, infidelity, secret, investigation, friendship, partner, love, friends, dilemma, cheating on partner, best friend",Two best friends. Nothing could come between them... or could it?,"Longtime friends Ronny and Nick are partners in an auto-design firm. They are hard at work on a presentation for a dream project that would really launch their company. Then Ronny spots Nick's wife out with another man, and in the process of investigating the possible affair, he learns that Nick has a few secrets of his own. As the presentation nears, Ronny agonizes over what might happen if the truth gets out.",111,13/01/2011,http://www.thedilemmamovie.com,en,English,United States of America,"Imagine Entertainment, Universal Pictures, Spyglass Entertainment, Wild West Picture Show Productions",70000000,67112664,304,5.2
Bad Company,Bad Company,"Action, Adventure, Comedy, Thriller","ambush, cia, assassin, nightclub, hustler, hidden camera, decoy, undercover agent, twin brother, deception, betrayal, mistaken identity, shootout, espionage, foot chase, car chase, silencer, surveillance, agent, impersonation, langley virginia, odd couple",Two Mismatched Partners. One Messed Up Case!,"When a Harvard-educated CIA agent is killed during an operation, the secret agency recruits his twin brother.",116,07/06/2002,,en,English,United States of America,"Jerry Bruckheimer Films, Touchstone Pictures, Stillking Films",70000000,65977295,228,5.4
Doom,Doom,"Adventure, Action, Horror","teleportation, based on video game, severed ear, future war, wisecrack humor, commando mission",No one gets out alive.,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",105,20/10/2005,,en,"日本語, English","Czech Republic, Germany, United Kingdom, United States of America","Di Bonaventura Pictures, John Wells Productions, Reaper Productions, Stillking Films, Babelsberg Film, Doom Productions, Distant Planet Productions",60000000,55987321,609,5
I Spy,I Spy,"Action, Adventure, Comedy, Thriller","budapest, kidnapping, boxer, secret agent, liberation of hostage, hostage-taking, woman director",Attitude meets espionage.,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.",97,31/10/2002,,en,"English, Magyar, Pусский",United States of America,Columbia Pictures Corporation,70000000,33561137,269,5.2
Underworld: Awakening,Underworld: Awakening,"Fantasy, Action, Horror","vampire, daughter, hybrid, child vampire, werewolf, imax, lab experiment, werewolf child, fang vamp",Vengeance Returns,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",88,19/01/2012,http://www.entertheunderworld.com/,en,"English, Pусский",United States of America,"Lakeshore Entertainment, Saturn Films, Screen Gems, Sketch Films, UW4 Productions",70000000,160112671,1862,6.1
Rock of Ages,Rock of Ages,"Comedy, Drama, Music, Romance","musical, rocker, teenager, young love, rock sta",Nothin' but a good time,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.",123,13/06/2012,http://www.warnerbros.com/rock-ages,en,"English, ภาษาไทย",United States of America,"New Line Cinema, Offspring Entertainment, Corner Store Entertainment, Material Pictures",75000000,59418613,385,6
Hart's War,Hart's War,"Drama, War","black people, world war ii, prisoners of war, u.s. army, war, escape, tribunal, trial, soldier, military tribunal, xenophobia","Beyond Courage, Beyond Honor.","Fourth-generation Army Col. William McNamara is imprisoned in a brutal German POW camp. Still, as the senior-ranking American officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the Luftwafe vetran Col. Wilhelm Visser. Never giving up the fight to win the war, McNamara is silently planning, waiting for his moment to strike back at the enemy. A murder in the camp gives him the chance to set a risky plan in motion. With a court martial to keep Visser and the Germans distracted, McNamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young Lt. Tommy Hart. Together with his men, McNamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country.",125,15/02/2002,,en,"English, Deutsch",United States of America,"David Foster Productions, Cheyenne Enterprises, Metro-Goldwyn-Mayer (MGM), David Ladd Films",70000000,32287044,241,5.9
Killer Elite,Killer Elite,"Action, Adventure, Thriller",rescue,May the best man live.,"Based on a shocking true story, Killer Elite pits two of the world’s most elite operatives—Danny, an ex-special ops agent and Hunter, his longtime mentor—against the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.",116,23/09/2011,,en,English,"Australia, United States of America","Current Entertainment, Omnilab Media, Ambience Entertainment, International Traders, Open Road Films, Sighvatsson Films, Palomar Pictures (II), Film Victoria, Wales Creative IP Fund",66000000,57777106,695,6.1
Rollerball,Rollerball,"Action, Science Fiction, Thriller","manager, arena, dystopia, wrestling, sport, roller-skating, motorcycle racing, rollerskating, future sport",Go Ballistic,"From the director of Die Hard comes this high-octane thriller that roars along at a breakneck pace (Los Angeles Times)! Starring Chris Klein (American Pie), Jean Reno (Ronin), LL Cool J (Charlie's Angels) and Rebecca Romijn-Stamos (X-Men), Rollerball goes full-throttle with excitement from its death-defying opening until its explosive end! Jonathan Cross (Klein) is the newest recruit in the most extreme sport of all time where his fast moves and killer looks make him an instant superstar. But Cross life in the fast lane collides with reality when he learns that the league's owner (Reno) is orchestrating serious on-court accidents to boost ratings. Now Cross plans to take down the owner and his ruthless sport before the game puts an end to him!",98,08/02/2002,,en,"Deutsch, Français, 日本語, 한국어/조선말, Pусский, العربية, English","Germany, Japan, United States of America","Atlas Entertainment, Toho-Towa, Mosaic Media Group, Yorktown Productions, Helkon Media AG, Metro-Goldwyn-Mayer (MGM)",0,0,106,3.4
Ballistic: Ecks vs. Sever,Ballistic: Ecks vs. Sever,"Action, Adventure, Thriller","loss of family, enemy, adversary, agent",,"Jonathan Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a ""micro-device"" that can be injected into victims in order to kill them at will.",91,20/09/2002,,en,"English, Español","Germany, United States of America","Epsilon Motion Pictures, Franchise Pictures, Dante Entertainment, Chris Lee Productions, SuperMega, MHF Erste Academy Film GmbH & Co. Produktions KG",70000000,19924033,97,4.3
Hard Rain,Hard Rain,Thriller,"sheriff, rain, evacuation, armored car, crook, hoodlum","In the worst storm in living memory, one guard stands between five men and three million dollars.","Get swept up in the action as an armored car driver (Christian Slater) tries to elude a gang of thieves (led by Morgan Freeman) while a flood ravages the countryside. Hard Rain is ""a wild, thrilling, chilling action ride"" filled with close calls, uncertain loyalties and heart-stopping heroics.",97,16/01/1998,,en,English,"Denmark, France, New Zealand, United Kingdom, United States of America","Paramount Pictures, Toho-Towa, Mutual Film Company, PolyGram Filmed Entertainment, Marubeni, Tele München Fernseh Produktionsgesellschaft (TMG), UGC PH, British Broadcasting Corporation (BBC) Television, Stargate Studios",70000000,19870567,179,5.5
Osmosis Jones,Osmosis Jones,"Adventure, Animation, Action, Comedy, Family","cold, flu, lethal virus, construction worker",Every BODY needs a hero,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",95,07/08/2001,http://www.osmosisjones.com/,en,English,United States of America,"Conundrum Entertainment, Warner Bros. Animation, Warner Bros.",75000000,13596911,228,5.9
Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy's Return,"Animation, Music, Family",,There's trouble in OZ...,"Dorothy wakes up in post-tornado Kansas, only to be whisked back to Oz to try to save her old friends the Scarecrow, the Lion, the Tin Man and Glinda from a devious new villain, the Jester. Wiser the owl, Marshal Mallow, China Princess and Tugg the tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City.",88,13/06/2013,http://www.dorothyofozthemovie.com/,en,English,"India, United States of America","Prana Animation Studios, Summertime Entertainment",70000000,18662027,43,5.9
Blackhat,Blackhat,"Crime, Drama, Mystery","terrorist, technology, anti hero, hacker, computer virus, national security agency (nsa), race against time, computer, malaysia, nuclear power plant, suspense, betrayal, conspiracy, on the run, fugitive, shootout, hacking, terrorism, cat and mouse, one against many, computer hacker, no opening credits, terrorist plot, stock exchange, cybercrime, cyber terrorism, chinese military, cyber terrorist, cyber thriller",We are no longer in control.,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,133,13/01/2015,http://www.legendary.com/film/blackhat/,en,"English, Italiano, 普通话, Español",United States of America,"Universal Pictures, Forward Pass, Legendary Pictures",70000000,17752940,826,5.1
Sky Captain and the World of Tomorrow,Sky Captain and the World of Tomorrow,"Mystery, Action, Thriller, Science Fiction, Adventure","london england, himalaya, journalist, killer robot, computer war, robot",Who will save us?,"When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.",107,17/09/2004,http://www.skycaptain.com/,en,", Deutsch, English","United Kingdom, United States of America","Paramount Pictures, Natural Nylon Entertainment, Riff Raff Film Productions, Filmauro, Blue Flower Productions, Brooklyn Films II",70000000,57958696,439,5.7
Basic Instinct 2,Basic Instinct 2,"Crime, Mystery, Thriller","male nudity, sex, legs, soho london, playing god, jacuzzi",Everything interesting begins in the mind,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",114,29/03/2006,,en,"English, Deutsch","Germany, United Kingdom, United States of America","Intermedia Films, Kanzaman, C-2 Pictures, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG",70000000,38629478,180,4.6
Escape Plan,Escape Plan,"Action, Thriller","prison, muslim, ship, mystery, science fiction, escape, crime, prison escape, cia agent",No one breaks out alone.,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",115,09/10/2013,http://escapeplanmovie.com/,en,"English, Deutsch, العربية, اردو",United States of America,"Summit Entertainment, Atmosphere Entertainment MM, Emmett/Furla Films, Mark Canton Productions, Envision Entertainment, Boies / Schiller Film Group, Knightsbridge Entertainment",50000000,122915111,1659,6.7
The Legend of Hercules,The Legend of Hercules,"Action, Adventure","mythology, zeus, ancient greece, demigod, city of argos, mistaken parentage",Every Man Has a Destiny,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.",99,10/01/2014,,en,English,United States of America,Millennium Films,70000000,61279452,533,4.4
The Sum of All Fears,The Sum of All Fears,"Thriller, Action, Drama","cia, terrorist, atomic bomb, cold war, nuclear explosion, jack ryan","27,000 nuclear weapons. One is missing.","When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.",124,31/05/2002,http://www.paramount.com/movies/sum-all-fears,en,"العربية, English, Pусский, Український, Deutsch",United States of America,"Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema",68000000,193000000,437,5.9
The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance","vampire, graduation, bite, immortality, werewolf, fang vamp",It all begins ... With a choice.,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",124,23/06/2010,http://eclipsethemovie.com,en,English,United States of America,"Summit Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment, Temple Hill Entertainment",68000000,698491347,2301,5.8
The Score,The Score,"Action, Crime, Thriller","quebec, jewel, scepter, customs house, jewelry heist, blueprint, assumed identity, schematic, voice over, surveillance camera, one last job",There are no partners in crime,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,124,13/07/2001,,en,"English, Français","Germany, United States of America","Paramount Pictures, Mandalay Pictures, Horseshoe Bay Productions",68000000,71069884,423,6.7
Despicable Me,Despicable Me,"Animation, Family","adoptive father, orphanage, life's dream, rivalry, stealing, ballet, little girl, orphan, father daughter relationship, tomboy, mother son relationship, intelligent, kids, evil doctor, duringcreditsstinger, minions, supervillain, 3d, despicable, cattivissimo",Superbad. Superdad.,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",95,08/07/2010,http://www.despicable.me/,en,English,United States of America,"Universal Pictures, Illumination Entertainment",69000000,543513985,6478,7.1
Money Train,Money Train,"Action, Comedy, Crime","brother brother relationship, subway, new york city, new york subway, train robbery","Get on, or GET OUT THE WAY!","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",103,21/11/1995,,en,English,United States of America,Columbia Pictures,60000000,35431113,222,5.4
Ted 2,Ted 2,Comedy,"sperm bank, sequel, buddy, courthouse, teddy bear, aftercreditsstinger, toy comes to life, married","Ted is Coming, Again.","Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",115,25/06/2015,,en,English,United States of America,"Universal Pictures, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment, Media Rights Capital (MRC)",68000000,217022588,2463,6.2
Agora,Agora,"Adventure, Drama, History","christianity, philosophy, egypt, new love, war, cult, historical figure, history, sword fight, ancient world, destiny, fall in love, hypatia, misogyny, persecution, library of alexandria, political unrest, impossible love, false history, power relations, unfulfillment, master and servant, love and romance, unfulfilled love","Alexandria, Egypt. 391 A.D. The World Changed Forever.","A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.",127,17/05/2009,http://www.agoralapelicula.com/,en,English,Spain,"Himenóptero, Telecinco Cinema, Mod Producciones, Nimar Studios, Canal+ España, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Government of Malta",70000000,39041505,395,6.9
Mystery Men,Mystery Men,"Adventure, Fantasy, Action, Comedy, Science Fiction","bowling, hostage, sphinx, training, insane asylum, tools, frankenstein, casanova, superhero, based on comic book, independent film, comedy, spoof, skull, shovel, disco, superhero spoof, invisible man, dark horse comics, invisibility, rajah, bowling ball, spleen, evil genius","We're not your classic heroes, we're the other guys.","When Captain Amazing (Kinnear) is kidnapped by Casanova Frankenstein (Rush) a group of superheroes combine together to create a plan. But these aren't normal superheroes. Now, the group who include such heroes as Mr. Furious (Stiller), The Shoveller (Macy) and The Blue Raja (Azaria) must put all the powers together to save everyone they know and love.",121,06/08/1999,,en,English,United States of America,"Universal Pictures, Dark Horse Entertainment, Golar Productions",68000000,29762011,250,5.7
